5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
inh_28,-10.505,CHEMBL4794765,-145.03395080566406,inh_35.dok,-8.62,inh_31,-11.38,CHEMBL4794765,-123.99645233154295,inh_29,-11.07,inh_22,-11.05,inh_3,-10.36,inh_49.dok,-8.36,CHEMBL4794765,-120.87313079833984,inh_5,-9.008,inh_42,-10.7,inh_17.dok,-7.76,inh_25,-10.308,CHEMBL4794765,-126.60906219482422,inh_42.dok,-8.95
inh_27,-10.19,CHEMBL4845770,-76.8476333618164,inh_27.dok,-8.59,inh_3,-11.33,CHEMBL4845770,-64.45670318603516,inh_14,-11.02,inh_31,-10.51,inh_20,-10.321,inh_45.dok,-8.3,CHEMBL4845770,-69.22517395019531,inh_48,-8.876,inh_29,-10.68,inh_9.dok,-7.76,inh_42,-10.289,CHEMBL4845770,-76.38964080810547,inh_49.dok,-8.88
inh_42,-10.113,CHEMBL4632409,-96.08229064941406,inh_17.dok,-8.32,inh_8,-10.92,CHEMBL4632409,-86.54405212402344,inh_1,-10.86,inh_49,-10.5,inh_42,-10.209,inh_31.dok,-8.28,CHEMBL4632409,-83.84297943115234,inh_45,-8.836,inh_47,-10.64,inh_50.dok,-7.71,inh_9,-10.246,CHEMBL4632409,-95.57171630859376,inh_29.dok,-8.69
inh_22,-9.901,CHEMBL2336037,-90.12166595458984,inh_50.dok,-8.28,inh_35,-10.71,CHEMBL2336037,-73.01936340332031,inh_25,-10.84,inh_24,-10.31,inh_9,-10.135,inh_34.dok,-8.24,CHEMBL2336037,-78.96625518798828,inh_37,-8.79,inh_33,-10.6,inh_8.dok,-7.67,inh_48,-9.953,CHEMBL2336037,-83.96497344970703,inh_17.dok,-8.6
inh_45,-9.677,CHEMBL1421,-68.17826080322266,inh_29.dok,-8.26,inh_30,-10.47,CHEMBL1421,-66.3692626953125,inh_37,-10.56,inh_37,-10.28,inh_6,-10.093,inh_5.dok,-8.2,CHEMBL1421,-73.67681884765625,inh_34,-8.783,inh_9,-10.51,inh_39.dok,-7.66,inh_26,-9.819,CHEMBL1421,-59.73246765136719,inh_27.dok,-8.58
inh_41,-9.63,CHEMBL4846921,-70.65817260742188,inh_37.dok,-8.1,inh_9,-10.33,CHEMBL4846921,-69.54297637939453,inh_17,-10.56,inh_41,-10.24,inh_35,-10.041,inh_35.dok,-8.2,CHEMBL4846921,-80.66458129882812,inh_41,-8.782,inh_49,-10.36,inh_49.dok,-7.53,inh_45,-9.774,CHEMBL4846921,-69.23707580566406,inh_35.dok,-8.47
inh_26,-9.546,CHEMBL3797933,-57.98173904418945,inh_8.dok,-8.1,inh_24,-10.32,CHEMBL3797933,-38.44289016723633,inh_9,-10.4,inh_9,-10.21,inh_25,-10.021,inh_8.dok,-8.11,CHEMBL3797933,-46.571407318115234,inh_9,-8.717,inh_3,-10.2,inh_20.dok,-7.4,inh_46,-9.717,CHEMBL3797933,-45.6338005065918,inh_8.dok,-8.37
inh_17,-9.408,CHEMBL4097778,-50.60502243041992,inh_20.dok,-8.02,inh_20,-10.26,CHEMBL4097778,-48.25113296508789,inh_26,-10.37,inh_35,-9.72,inh_33,-9.867,inh_29.dok,-8.1,CHEMBL4097778,-48.64285659790039,inh_49,-8.558,inh_20,-10.12,inh_37.dok,-7.35,inh_33,-9.678,CHEMBL4097778,-50.31816864013672,inh_26.dok,-8.24
inh_47,-9.404,CHEMBL1171837,-147.6232147216797,inh_30.dok,-7.97,inh_49,-10.25,CHEMBL1171837,-130.12669372558594,inh_49,-10.34,inh_26,-9.64,inh_37,-9.861,inh_50.dok,-8.06,CHEMBL1171837,-119.4731216430664,inh_4,-8.338,inh_7,-9.99,inh_27.dok,-7.08,inh_30,-9.637,CHEMBL1171837,-136.28285217285156,inh_20.dok,-8.2
inh_39,-9.279,CHEMBL4064534,-57.53573226928711,inh_39.dok,-7.77,inh_41,-10.19,CHEMBL4064534,-63.57591247558594,inh_27,-10.34,inh_47,-9.61,inh_45,-9.729,inh_39.dok,-7.93,CHEMBL4064534,-64.93121337890625,inh_20,-8.336,inh_27,-9.97,inh_4.dok,-6.99,inh_37,-9.637,CHEMBL4064534,-61.40232467651367,inh_23.dok,-8.09
