5SB1_Vina_Name,5SB1_Vina_Score,6FEX_KarmaDock_Name,6FEX_KarmaDock_Score,6FEW_ledock_Name,6FEW_ledock_Score,5SB1_AutodockGPU_Name,5SB1_AutodockGPU_Score,6FEW_KarmaDock_Name,6FEW_KarmaDock_Score,6FEW_AutodockGPU_Name,6FEW_AutodockGPU_Score,5SB2_AutodockGPU_Name,5SB2_AutodockGPU_Score,6FEW_Vina_Name,6FEW_Vina_Score,6FEX_ledock_Name,6FEX_ledock_Score,5SB2_KarmaDock_Name,5SB2_KarmaDock_Score,5SB2_Vina_Name,5SB2_Vina_Score,6FEX_AutodockGPU_Name,6FEX_AutodockGPU_Score,5SB2_ledock_Name,5SB2_ledock_Score,6FEX_Vina_Name,6FEX_Vina_Score,5SB1_KarmaDock_Name,5SB1_KarmaDock_Score,5SB1_ledock_Name,5SB1_ledock_Score
decoy_1158,-10.475,decoy_1803,-55.88039016723633,decoy_320.dok,-9.31,decoy_338,-12.42,decoy_1803,-53.85090255737305,decoy_1246,-11.96,decoy_887,-11.84,decoy_910,-10.72,decoy_330.dok,-9.08,decoy_1803,-63.58393478393555,decoy_3,-9.852,decoy_2271,-11.78,decoy_1053.dok,-8.6,decoy_1473,-10.781,decoy_1803,-51.85509490966797,decoy_550.dok,-9.57
decoy_2490,-10.473,decoy_1060,-51.17544555664063,decoy_1201.dok,-9.31,decoy_1511,-12.42,decoy_1060,-54.70823287963867,decoy_207,-11.96,decoy_1281,-11.84,decoy_2287,-10.719,decoy_783.dok,-9.08,decoy_1060,-58.65683364868164,decoy_1841,-9.852,decoy_1767,-11.78,decoy_2113.dok,-8.6,decoy_2366,-10.781,decoy_1060,-52.53780364990234,decoy_1339.dok,-9.57
decoy_908,-10.473,decoy_2333,-65.85504913330078,decoy_1418.dok,-9.31,decoy_1611,-12.42,decoy_2333,-64.38299560546875,decoy_1254,-11.96,decoy_2213,-11.83,decoy_763,-10.719,decoy_1675.dok,-9.07,decoy_2333,-61.350135803222656,decoy_1955,-9.852,decoy_224,-11.78,decoy_2029.dok,-8.59,decoy_2462,-10.78,decoy_2333,-64.99223327636719,decoy_242.dok,-9.57
decoy_1465,-10.472,decoy_1180,-59.001556396484375,decoy_1300.dok,-9.3,decoy_782,-12.42,decoy_1180,-59.06932830810547,decoy_541,-11.96,decoy_1688,-11.83,decoy_904,-10.718,decoy_1011.dok,-9.07,decoy_1180,-61.16524887084961,decoy_1163,-9.851,decoy_1305,-11.77,decoy_1784.dok,-8.59,decoy_877,-10.779,decoy_1180,-61.752742767333984,decoy_1857.dok,-9.57
decoy_1700,-10.472,decoy_621,-54.639984130859375,decoy_2071.dok,-9.3,decoy_1387,-12.42,decoy_621,-45.90021514892578,decoy_762,-11.96,decoy_1346,-11.82,decoy_1165,-10.717,decoy_1269.dok,-9.07,decoy_621,-53.55979537963867,decoy_1779,-9.848,decoy_822,-11.77,decoy_783.dok,-8.59,decoy_1609,-10.773,decoy_621,-57.80153274536133,decoy_640.dok,-9.57
decoy_1917,-10.471,decoy_159,-50.220584869384766,decoy_1876.dok,-9.3,decoy_1675,-12.41,decoy_159,-40.40746688842773,decoy_344,-11.96,decoy_1618,-11.82,decoy_1298,-10.717,decoy_1514.dok,-9.07,decoy_159,-47.00722885131836,decoy_417,-9.844,decoy_844,-11.77,decoy_2391.dok,-8.59,decoy_873,-10.771,decoy_159,-49.17381286621094,decoy_431.dok,-9.57
decoy_658,-10.47,decoy_1540,-64.88086700439453,decoy_2020.dok,-9.3,decoy_1669,-12.41,decoy_1540,-49.91701889038086,decoy_2417,-11.96,decoy_1050,-11.81,decoy_1317,-10.716,decoy_317.dok,-9.07,decoy_1540,-59.577674865722656,decoy_101,-9.843,decoy_677,-11.76,decoy_228.dok,-8.59,decoy_2380,-10.77,decoy_1540,-52.12690353393555,decoy_1299.dok,-9.57
decoy_1154,-10.47,decoy_1358,-58.7629280090332,decoy_1890.dok,-9.29,decoy_1991,-12.41,decoy_1358,-58.434513092041016,decoy_1211,-11.95,decoy_1184,-11.81,decoy_1614,-10.716,decoy_821.dok,-9.07,decoy_1358,-58.87035751342773,decoy_290,-9.843,decoy_2324,-11.76,decoy_2373.dok,-8.59,decoy_1208,-10.768,decoy_1358,-55.51703643798828,decoy_352.dok,-9.57
decoy_1990,-10.467,decoy_1301,-67.81314849853516,decoy_1844.dok,-9.29,decoy_1798,-12.41,decoy_1301,-58.15125274658203,decoy_1019,-11.95,decoy_544,-11.81,decoy_1037,-10.714,decoy_995.dok,-9.07,decoy_1301,-58.26299285888672,decoy_851,-9.842,decoy_893,-11.76,decoy_1671.dok,-8.59,decoy_1022,-10.768,decoy_1301,-64.83629608154297,decoy_2477.dok,-9.56
decoy_2388,-10.467,decoy_1761,-63.17242813110352,decoy_550.dok,-9.29,decoy_1506,-12.4,decoy_1761,-58.9443588256836,decoy_875,-11.95,decoy_1912,-11.81,decoy_571,-10.713,decoy_316.dok,-9.07,decoy_1761,-65.47799682617188,decoy_1104,-9.842,decoy_1118,-11.76,decoy_646.dok,-8.59,decoy_1803,-10.766,decoy_1761,-62.06796646118164,decoy_2455.dok,-9.56
decoy_2347,-10.467,decoy_1523,-68.52781677246094,decoy_2055.dok,-9.29,decoy_1004,-12.4,decoy_1523,-59.28624725341797,decoy_1277,-11.95,decoy_1868,-11.81,decoy_1959,-10.712,decoy_1927.dok,-9.06,decoy_1523,-62.87703323364258,decoy_2487,-9.842,decoy_1165,-11.76,decoy_2212.dok,-8.59,decoy_835,-10.764,decoy_1523,-70.4598159790039,decoy_2055.dok,-9.55
decoy_59,-10.466,decoy_2286,-81.83528900146484,decoy_810.dok,-9.29,decoy_1526,-12.4,decoy_2286,-73.06632232666016,decoy_335,-11.95,decoy_1155,-11.8,decoy_2017,-10.709,decoy_2052.dok,-9.06,decoy_2286,-71.52681732177734,decoy_40,-9.841,decoy_1871,-11.76,decoy_408.dok,-8.58,decoy_1692,-10.762,decoy_2286,-77.81210327148438,decoy_1878.dok,-9.55
decoy_671,-10.461,decoy_2160,-48.59860229492188,decoy_2363.dok,-9.29,decoy_266,-12.4,decoy_2160,-46.917442321777344,decoy_2462,-11.95,decoy_2165,-11.8,decoy_847,-10.709,decoy_2447.dok,-9.05,decoy_2160,-51.282527923583984,decoy_1796,-9.837,decoy_1757,-11.76,decoy_2214.dok,-8.58,decoy_1848,-10.761,decoy_2160,-51.39105224609375,decoy_1514.dok,-9.55
decoy_991,-10.46,decoy_2290,-65.37955474853516,decoy_2358.dok,-9.28,decoy_222,-12.4,decoy_2290,-72.41344451904297,decoy_1218,-11.95,decoy_245,-11.8,decoy_125,-10.704,decoy_2213.dok,-9.05,decoy_2290,-67.27802276611328,decoy_42,-9.833,decoy_233,-11.76,decoy_1773.dok,-8.58,decoy_1961,-10.76,decoy_2290,-78.87508392333984,decoy_307.dok,-9.55
decoy_621,-10.46,decoy_2121,-47.83270263671875,decoy_2464.dok,-9.28,decoy_2206,-12.4,decoy_2121,-41.76304244995117,decoy_456,-11.95,decoy_556,-11.79,decoy_1619,-10.703,decoy_1929.dok,-9.05,decoy_2121,-52.865501403808594,decoy_809,-9.832,decoy_2093,-11.75,decoy_1277.dok,-8.58,decoy_1300,-10.756,decoy_2121,-52.24762344360352,decoy_1405.dok,-9.55
decoy_812,-10.458,decoy_2441,-71.22472381591797,decoy_326.dok,-9.28,decoy_2357,-12.39,decoy_2441,-80.24181365966797,decoy_947,-11.94,decoy_610,-11.79,decoy_1692,-10.7,decoy_1295.dok,-9.05,decoy_2441,-78.01316833496094,decoy_1285,-9.831,decoy_264,-11.75,decoy_1973.dok,-8.57,decoy_1761,-10.754,decoy_2441,-72.33515167236328,decoy_784.dok,-9.54
decoy_1017,-10.457,decoy_1515,-73.58009338378906,decoy_96.dok,-9.28,decoy_1776,-12.38,decoy_1515,-62.85991287231445,decoy_1979,-11.94,decoy_721,-11.79,decoy_2000,-10.698,decoy_1934.dok,-9.05,decoy_1515,-69.94147491455078,decoy_853,-9.829,decoy_1790,-11.75,decoy_895.dok,-8.57,decoy_2123,-10.753,decoy_1515,-67.18317413330078,decoy_834.dok,-9.54
decoy_1308,-10.454,decoy_2453,-55.83070373535156,decoy_2366.dok,-9.28,decoy_1618,-12.38,decoy_2453,-63.089881896972656,decoy_258,-11.94,decoy_2100,-11.79,decoy_1918,-10.696,decoy_2374.dok,-9.05,decoy_2453,-69.68421936035156,decoy_1999,-9.827,decoy_1143,-11.75,decoy_60.dok,-8.57,decoy_1537,-10.748,decoy_2453,-57.83990478515625,decoy_55.dok,-9.54
decoy_369,-10.442,decoy_1963,-42.6715087890625,decoy_1136.dok,-9.27,decoy_2087,-12.38,decoy_1963,-50.62178421020508,decoy_2252,-11.94,decoy_1086,-11.79,decoy_1056,-10.693,decoy_1894.dok,-9.05,decoy_1963,-55.67023086547852,decoy_1958,-9.826,decoy_210,-11.75,decoy_2290.dok,-8.56,decoy_1008,-10.743,decoy_1963,-53.75008392333984,decoy_981.dok,-9.54
decoy_1152,-10.441,decoy_2327,-73.5307388305664,decoy_1868.dok,-9.27,decoy_1727,-12.38,decoy_2327,-72.23207092285156,decoy_246,-11.94,decoy_1289,-11.79,decoy_1304,-10.691,decoy_1260.dok,-9.05,decoy_2327,-75.90999603271484,decoy_2241,-9.826,decoy_1024,-11.75,decoy_2396.dok,-8.56,decoy_1119,-10.742,decoy_2327,-62.62863159179688,decoy_1751.dok,-9.54
decoy_737,-10.441,decoy_1273,-72.67688751220703,decoy_1529.dok,-9.27,decoy_1787,-12.38,decoy_1273,-57.24140548706055,decoy_2440,-11.94,decoy_1064,-11.79,decoy_865,-10.691,decoy_1104.dok,-9.04,decoy_1273,-74.42011260986328,decoy_1387,-9.826,decoy_1287,-11.74,decoy_1787.dok,-8.56,decoy_2051,-10.74,decoy_1273,-72.7144546508789,decoy_2460.dok,-9.54
decoy_677,-10.44,decoy_1907,-92.9999008178711,decoy_2289.dok,-9.27,decoy_1341,-12.38,decoy_1907,-88.15917205810547,decoy_2002,-11.94,decoy_1468,-11.79,decoy_2380,-10.691,decoy_1068.dok,-9.04,decoy_1907,-86.44017028808594,decoy_1384,-9.824,decoy_2252,-11.74,decoy_299.dok,-8.56,decoy_1738,-10.739,decoy_1907,-97.4501724243164,decoy_1621.dok,-9.54
decoy_1703,-10.44,decoy_2319,-67.85472869873047,decoy_2267.dok,-9.27,decoy_761,-12.38,decoy_2319,-66.9608154296875,decoy_1269,-11.94,decoy_1366,-11.79,decoy_2458,-10.684,decoy_1439.dok,-9.04,decoy_2319,-67.8176040649414,decoy_1471,-9.816,decoy_2320,-11.74,decoy_100.dok,-8.56,decoy_1281,-10.739,decoy_2319,-69.15516662597656,decoy_1219.dok,-9.53
decoy_1502,-10.439,decoy_709,-55.36231994628906,decoy_1760.dok,-9.27,decoy_1522,-12.37,decoy_709,-52.51594161987305,decoy_2485,-11.93,decoy_1445,-11.79,decoy_2064,-10.682,decoy_1947.dok,-9.04,decoy_709,-59.64803314208984,decoy_1013,-9.814,decoy_1211,-11.73,decoy_2132.dok,-8.56,decoy_239,-10.737,decoy_709,-58.25601577758789,decoy_2061.dok,-9.53
decoy_417,-10.439,decoy_933,-70.29393005371094,decoy_2227.dok,-9.27,decoy_2321,-12.37,decoy_933,-65.66627502441406,decoy_1756,-11.93,decoy_499,-11.78,decoy_874,-10.68,decoy_1651.dok,-9.04,decoy_933,-62.479888916015625,decoy_2471,-9.81,decoy_1007,-11.73,decoy_1950.dok,-8.55,decoy_1671,-10.737,decoy_933,-56.89995956420898,decoy_2373.dok,-9.53
decoy_2484,-10.438,decoy_1022,-71.56832885742188,decoy_2386.dok,-9.26,decoy_2412,-12.37,decoy_1022,-62.62107849121094,decoy_1673,-11.93,decoy_1143,-11.78,decoy_1482,-10.68,decoy_972.dok,-9.04,decoy_1022,-63.71681594848633,decoy_1154,-9.809,decoy_1500,-11.73,decoy_1502.dok,-8.55,decoy_844,-10.734,decoy_1022,-68.82510375976562,decoy_87.dok,-9.53
decoy_1354,-10.435,decoy_1562,-47.24955368041992,decoy_1326.dok,-9.26,decoy_1752,-12.37,decoy_1562,-46.45441055297852,decoy_2493,-11.93,decoy_761,-11.78,decoy_1671,-10.68,decoy_2207.dok,-9.04,decoy_1562,-56.07223510742188,decoy_2126,-9.805,decoy_820,-11.73,decoy_2473.dok,-8.55,decoy_1602,-10.733,decoy_1562,-53.99201202392578,decoy_2256.dok,-9.53
decoy_2053,-10.433,decoy_871,-64.99993896484375,decoy_2232.dok,-9.26,decoy_2498,-12.37,decoy_871,-58.39130401611328,decoy_1132,-11.93,decoy_1693,-11.78,decoy_1893,-10.678,decoy_2041.dok,-9.04,decoy_871,-71.1749267578125,decoy_535,-9.803,decoy_1525,-11.72,decoy_2251.dok,-8.55,decoy_1214,-10.732,decoy_871,-54.72808837890625,decoy_2363.dok,-9.53
decoy_481,-10.432,decoy_2479,-55.91619110107422,decoy_592.dok,-9.26,decoy_219,-12.37,decoy_2479,-49.74445343017578,decoy_884,-11.92,decoy_698,-11.77,decoy_243,-10.676,decoy_1945.dok,-9.04,decoy_2479,-56.12017059326172,decoy_1758,-9.802,decoy_2497,-11.72,decoy_2425.dok,-8.55,decoy_1561,-10.729,decoy_2479,-61.44049072265625,decoy_2201.dok,-9.53
decoy_1515,-10.432,decoy_1727,-64.0420150756836,decoy_2498.dok,-9.25,decoy_1920,-12.37,decoy_1727,-64.89546966552734,decoy_765,-11.92,decoy_1013,-11.77,decoy_276,-10.674,decoy_1078.dok,-9.04,decoy_1727,-67.70439147949219,decoy_203,-9.799,decoy_1029,-11.72,decoy_2150.dok,-8.55,decoy_302,-10.729,decoy_1727,-65.2528076171875,decoy_1920.dok,-9.52
decoy_393,-10.432,decoy_178,-61.47767639160156,decoy_206.dok,-9.25,decoy_651,-12.36,decoy_178,-47.19079208374024,decoy_2298,-11.92,decoy_845,-11.77,decoy_543,-10.669,decoy_1716.dok,-9.04,decoy_178,-57.17794418334961,decoy_908,-9.799,decoy_1668,-11.72,decoy_2116.dok,-8.55,decoy_1469,-10.727,decoy_178,-56.457618713378906,decoy_1208.dok,-9.52
decoy_1285,-10.431,decoy_1001,-68.95616912841797,decoy_2485.dok,-9.25,decoy_1671,-12.36,decoy_1001,-71.72332000732422,decoy_1962,-11.91,decoy_2183,-11.77,decoy_2281,-10.661,decoy_1596.dok,-9.04,decoy_1001,-80.21884155273438,decoy_1700,-9.789,decoy_1995,-11.72,decoy_1927.dok,-8.54,decoy_1728,-10.727,decoy_1001,-70.5746078491211,decoy_2202.dok,-9.52
decoy_147,-10.431,decoy_1971,-71.15019989013672,decoy_2230.dok,-9.24,decoy_2052,-12.35,decoy_1971,-63.278446197509766,decoy_212,-11.91,decoy_1268,-11.77,decoy_1306,-10.659,decoy_1199.dok,-9.04,decoy_1971,-55.29714584350586,decoy_11,-9.786,decoy_829,-11.72,decoy_2234.dok,-8.54,decoy_101,-10.719,decoy_1971,-65.79912567138672,decoy_2376.dok,-9.52
